file_name,wordlist_size,words_found_in_corpus,coverage_percentage,unique_words_covered_by_wl,total_wordlist_frequency_in_corpus,total_corpus_frequency,frequency_coverage_percentage,words_not_covered,wordlist_usage
cet4_1.json,4543,4267,93.92471935,3.531261638,11817115,16354339,72.25675706,"unstate, oyserman, catnap, embrac, ircorp",
cet4_2.json,12885,6631,51.4629414,5.487648446,12204672,16354339,74.62650738,"unstate, oyserman, catnap, embrac, ircorp",
cet4_3.json,16359,8605,52.60101473,7.121281086,12580291,16354339,76.92326177,"unstate, oyserman, catnap, embrac, ircorp",
cet4_4.json,17595,9373,53.27081557,7.756858526,12798458,16354339,78.25726249,"unstate, oyserman, catnap, embrac, ircorp",
cet4_5.json,18991,10014,52.73024064,8.287333968,12881321,16354339,78.76393537,"unstate, oyserman, catnap, embrac, ircorp",
cet4_66.json,22664,10837,47.81591952,8.968428022,13100356,16354339,80.10324355,"unstate, oyserman, catnap, embrac, ircorp",
cet6_1.json,8074,7580,93.88159524,6.273016924,13462590,16354339,82.31815422,"unstate, oyserman, catnap, embrac, ircorp",
cet6_2.json,16390,9920,60.52471019,8.209541937,13738162,16354339,84.00316271,"unstate, oyserman, catnap, embrac, ircorp",
cet6_3.json,19572,11624,59.39096669,9.619729383,13980983,16354339,85.48791241,"unstate, oyserman, catnap, embrac, ircorp",
cet6_4.json,20478,12080,58.99013576,9.997103488,14019522,16354339,85.72356241,"unstate, oyserman, catnap, embrac, ircorp",
cet6_5.json,21762,12615,57.96801765,10.439856,14069525,16354339,86.02931002,"unstate, oyserman, catnap, embrac, ircorp",
cet6_6.json,25243,13272,52.57695203,10.98357264,14181876,16354339,86.71628979,"unstate, oyserman, catnap, embrac, ircorp",
HighSchool_1.json,3448,3206,92.98143852,2.653204783,9915422,16354339,60.62869309,"unstate, oyserman, catnap, embrac, ircorp",
HighSchool_2.json,9854,5103,51.78607672,4.223114164,10276985,16354339,62.83950088,"unstate, oyserman, catnap, embrac, ircorp",
HighSchool_3.json,12792,6856,53.5959975,5.673852774,10789572,16354339,65.97375779,"unstate, oyserman, catnap, embrac, ircorp",
HighSchool_4.json,13750,7489,54.46545455,6.197707618,11104584,16354339,67.89992552,"unstate, oyserman, catnap, embrac, ircorp",
HighSchool_5.json,14951,8061,53.91612601,6.671080399,11180400,16354339,68.36350891,"unstate, oyserman, catnap, embrac, ircorp",
HighSchool_6.json,18023,8782,48.72662709,7.267761824,11399678,16354339,69.70430294,"unstate, oyserman, catnap, embrac, ircorp",
basewrd31_pn_low.json,22409,9354,,7.741134605,557106,16354339,3.40647213,"bree, hisamerican, following, anj, kenblanchard",41.74215717
basewrd32_mw_low.json,196,67,,0.055447511,9924,16354339,0.060681144,"bree, hisamerican, following, anj, kenblanchard",34.18367347
basewrd33_tc_low.json,6044,1543,,1.276947904,107453,16354339,0.657030529,"bree, hisamerican, following, anj, kenblanchard",25.52945069
basewrd34_ab_low.json,1149,850,,0.703438573,211548,16354339,1.29352828,"bree, hisamerican, following, anj, kenblanchard",73.97737163
AWL_list.json,3107,1946,,1.610460545,3302148,16354339,20.19126545,"kmph, spawn, tergroup, eachbin, dimovski",62.63276472
high_cet4_cet6_level6.json,26411,13598,,11.25336202,14207971,16354339,86.87584989,"wds, hebei, kaydon, ibute, membersopte",51.48612321
high_cet4_6_awl.json,26864,13791,,11.41308396,14231835,16354339,87.02176835,"pruning, incorrigible, ket, lahan, radnet",51.33636093
combined_additional.json,29798,11814,,9.776968594,886031,16354339,5.417712082,"paperno, broadband, torment, oflose, escalation",39.64695617
combined_5.json,56254,25354,,20.98233128,15034273,16354339,91.92834391,"unq, custo, sirum, xkts, xr",45.07057276
combined_AVL.json,34274,18795,,15.55426822,14649106,16354339,89.57320745,"invertibility, decommis, aris, subcritera, styron",54.83748614
gen_AVL_add.json,63153,29913,,24.75524476,15388251,16354339,94.09277257,"dollarpricechange, lemak, waitingin, vjc, garmentdesign",47.36592086
gen_BEAWL_add.json,55808,25161,,20.82260934,15010409,16354339,91.78242545,"ramnath, multiplecountrie, uran, extrawide, antillean",45.08493406
gen_BEAWL_add_new.json,55816,25175,,20.83419539,15026445,16354339,91.88047894,"monus, loray, capitalaccount, entertainme, casebook",45.10355454
accumulated_level_1000.json,1000,897,,0.742334588,4959098,16354339,30.32282748,"mediator, casing, mpch, dyn, tucariz",89.7
accumulated_level_10000.json,9998,8985,,7.435759507,11670264,16354339,71.3588241,"mediator, mpch, dyn, tucariz, mcavoy",89.86797359
accumulated_level_2000.json,2000,1885,,1.559978483,8500414,16354339,51.97650605,"mediator, casing, mpch, dyn, tucariz",94.25
accumulated_level_3000.json,3000,2871,,2.375967228,10610821,16354339,64.88076956,"mediator, casing, mpch, dyn, tucariz",95.7
accumulated_level_4000.json,4000,3849,,3.185335375,11093108,16354339,67.82975454,"mediator, casing, mpch, dyn, tucariz",96.225
accumulated_level_5000.json,5000,4805,,3.976496876,11347303,16354339,69.38405154,"mediator, casing, mpch, dyn, tucariz",96.1
accumulated_level_6000.json,6000,5742,,4.751934456,11482285,16354339,70.20941048,"mediator, casing, mpch, dyn, tucariz",95.7
accumulated_level_7000.json,6998,6630,,5.486820871,11549879,16354339,70.62271976,"mediator, casing, mpch, dyn, tucariz",94.74135467
accumulated_level_8000.json,7998,7483,,6.192742169,11619789,16354339,71.05019041,"mediator, mpch, dyn, tucariz, mcavoy",93.56089022
accumulated_level_9000.json,8998,8276,,6.849008979,11647557,16354339,71.21998021,"mediator, mpch, dyn, tucariz, mcavoy",91.97599467
addi_accumulated_level_1000.json,30798,12711,,10.51930318,5845129,16354339,35.74053956,"mediator, casing, mpch, dyn, tucariz",41.27216053
addi_accumulated_level_10000.json,39795,20799,,17.2127281,12556295,16354339,76.77653618,"mediator, mpch, dyn, tucariz, ircs",52.26535997
addi_accumulated_level_2000.json,31798,13699,,11.33694708,9386445,16354339,57.39421813,"mediator, casing, mpch, dyn, tucariz",43.08132587
addi_accumulated_level_3000.json,32798,14685,,12.15293582,11496852,16354339,70.29848164,"mediator, casing, mpch, dyn, tucariz",44.77407159
addi_accumulated_level_4000.json,33798,15663,,12.96230397,11979139,16354339,73.24746662,"mediator, casing, mpch, dyn, tucariz",46.34297887
addi_accumulated_level_5000.json,34798,16619,,13.75346547,12233334,16354339,74.80176362,"mediator, casing, mpch, dyn, tucariz",47.75849187
addi_accumulated_level_6000.json,35798,17556,,14.52890305,12368316,16354339,75.62712256,"mediator, casing, mpch, dyn, tucariz",49.04184591
addi_accumulated_level_7000.json,36796,18444,,15.26378946,12435910,16354339,76.04043184,"mediator, casing, mpch, dyn, tucariz",50.12501359
addi_accumulated_level_8000.json,37796,19297,,15.96971076,12505820,16354339,76.46790249,"mediator, mpch, dyn, tucariz, ircs",51.05566727
addi_accumulated_level_9000.json,38796,20090,,16.62597757,12533588,16354339,76.6376923,"mediator, mpch, dyn, tucariz, ircs",51.78368904
addi_high_cet4_cet6_level6.json,55801,25161,,20.82260934,15010409,16354339,91.78242545,"mpch, dyn, tucariz, ircs, pythagorean",45.09058977
add_cet4_1.json,34257,16001,,13.24202425,12664821,16354339,77.44012766,"mediator, casing, mpch, dyn, tucariz",46.70870187
add_cet4_2.json,42477,18326,,15.16613564,13032534,16354339,79.68854015,"mediator, mpch, dyn, tucariz, ircs",43.14334816
add_cet4_3.json,45951,20300,,16.79976828,13408153,16354339,81.98529454,"mediator, mpch, dyn, tucariz, ircs",44.17749342
add_cet4_4.json,47187,21068,,17.43534572,13626320,16354339,83.31929526,"mediator, mpch, dyn, tucariz, ircs",44.64789031
add_cet4_5.json,48583,21709,,17.96582116,13709183,16354339,83.82596814,"mediator, mpch, dyn, tucariz, ircs",44.68435461
add_cet4_6.json,52256,22532,,18.64691521,13928218,16354339,85.16527632,"mediator, mpch, dyn, tucariz, ircs",43.11849357
add_cet6_1.json,37719,19250,,15.93081475,14307299,16354339,87.48319941,"casing, mpch, dyn, tucariz, ircs",51.03528726
add_cet6_2.json,45895,21533,,17.820168,14548873,16354339,88.96032423,"mpch, dyn, tucariz, ircs, pythagorean",46.91796492
add_cet6_3.json,49077,23237,,19.23035544,14791694,16354339,90.44507393,"mpch, dyn, tucariz, ircs, pythagorean",47.34804491
add_cet6_4.json,49983,23693,,19.60772955,14830233,16354339,90.68072394,"mpch, dyn, tucariz, ircs, pythagorean",47.40211672
add_cet6_5.json,51267,24228,,20.05048206,14880236,16354339,90.98647154,"mpch, dyn, tucariz, ircs, pythagorean",47.25847036
add_cet6_6.json,54748,24885,,20.5941987,14992587,16354339,91.67345131,"mpch, dyn, tucariz, ircs, pythagorean",45.4537152
add_HighSchool_1.json,33138,14926,,12.35238135,10781700,16354339,65.92562377,"mediator, casing, mpch, dyn, tucariz",45.0419458
