list,level,size,attestation_pct,type_pct,token_pct,plus_supp_size,plus_supp_token_pct
AWL,1,570,98.77,0.47,13.98,30367,19.39
AWL,2,1795,55.04,0.82,14.33,31589,19.74
AWL,3,2479,59.74,1.23,15.56,32273,20.98
AWL,4,2977,61.71,1.52,17.72,32771,23.13
AWL,5,3132,61.4,1.59,18.06,32926,23.47
AWL,6,3898,55.87,1.8,19.64,33695,25.05
NAWL,1,963,98.13,0.78,5.06,30741,10.43
NAWL,2,2229,53.79,0.99,5.11,31987,10.48
NAWL,3,3079,56.9,1.45,7.08,32837,12.45
NAWL,4,3602,57.77,1.72,9.23,33360,14.6
NAWL,5,3776,57.63,1.8,10.52,33534,15.88
NAWL,6,5072,52.56,2.21,14.92,34850,20.29
AVL,1,1991,95.93,1.58,39.47,31754,44.79
AVL,2,5796,53.07,2.55,40.75,35533,46.07
AVL,3,8094,56.66,3.8,44.26,37831,49.58
AVL,4,9410,58.36,4.55,48.03,39147,53.35
AVL,5,9918,58.01,4.76,49.04,39655,54.36
AVL,6,11906,53.61,5.28,51.07,41669,56.39
