list,level,size,attestation_pct,type_pct,token_pct
AWL*,1,59927,44.0,21.82,92.05
AWL*,2,60052,43.92,21.83,92.06
AWL*,3,60052,43.92,21.83,92.06
AWL*,4,60054,43.92,21.83,92.06
AWL*,5,60055,43.92,21.83,92.06
AWL*,6,59937,44.0,21.82,92.05
NAWL*,1,60060,44.11,21.92,92.73
NAWL*,2,60364,43.93,21.95,92.73
NAWL*,3,60412,43.93,21.96,92.74
NAWL*,4,60451,43.92,21.97,92.74
NAWL*,5,60465,43.91,21.97,92.74
NAWL*,6,60359,43.99,21.98,92.74
AVL*,1,60468,44.41,22.22,92.67
AVL*,2,61556,43.85,22.34,92.78
AVL*,3,61825,43.83,22.43,92.8
AVL*,4,62029,43.89,22.53,92.87
AVL*,5,62100,43.89,22.55,92.88
AVL*,6,62010,43.99,22.58,92.87
