list,level,size,attestation_pct,type_pct,token_pct
HSWL,Level 1,3448,93.79,2.68,60.8
HSWL,Level 1+,33118,45.1,12.36,65.97
HSWL,Level 2,10587,48.99,4.29,62.9
HSWL,Level 2+,40113,42.02,13.95,68.05
HSWL,Level 3,14094,50.94,5.94,65.67
HSWL,Level 3+,43620,43.21,15.6,70.83
HSWL,Level 4,15005,51.84,6.44,67.49
HSWL,Level 4+,44531,43.67,16.09,72.64
HSWL,Level 5,15616,51.77,6.69,67.96
HSWL,Level 5+,45142,43.76,16.35,73.12
HSWL,Level 6,17023,50.88,7.17,69.57
HSWL,Level 6+,46693,43.61,16.85,74.74
CET-4 WL,Level 1,4539,95.18,3.58,72.78
CET-4 WL,Level 1+,34221,46.82,13.26,77.73
CET-4 WL,Level 2,13683,49.03,5.55,74.76
CET-4 WL,Level 2+,43231,42.5,15.21,79.69
CET-4 WL,Level 3,17849,50.27,7.43,77.01
CET-4 WL,Level 3+,47397,43.54,17.08,81.94
CET-4 WL,Level 4,19036,50.98,8.03,78.28
CET-4 WL,Level 4+,48584,43.98,17.68,83.2
CET-4 WL,Level 5,19752,50.88,8.32,78.71
CET-4 WL,Level 5+,49300,44.04,17.97,83.64
CET-4 WL,Level 6,21450,49.91,8.86,80.11
CET-4 WL,Level 6+,51132,43.82,18.54,85.05
CET-6 WL,Level 1,8046,94.59,6.3,82.55
CET-6 WL,Level 1+,37662,51.12,15.93,87.48
CET-6 WL,Level 2,21573,49.16,8.78,84.04
CET-6 WL,Level 2+,50988,43.54,18.37,88.95
CET-6 WL,Level 3,26602,49.38,10.87,85.76
CET-6 WL,Level 3+,56017,44.15,20.47,90.68
CET-6 WL,Level 4,27794,49.38,11.36,86.12
CET-6 WL,Level 4+,57209,44.26,20.95,91.04
CET-6 WL,Level 5,28516,49.19,11.61,86.36
CET-6 WL,Level 5+,57931,44.23,21.2,91.28
CET-6 WL,Level 6,29844,48.78,12.05,87.02
CET-6 WL,Level 6+,59460,44.06,21.68,91.95
