list,level,wordlist_size,words_found_in_corpus,attestation_rate_pct,type_coverage_pct,token_coverage_pct,matched_token_frequency,total_corpus_tokens,paper_size,paper_token_pct
HSWL,1,3448,3234,93.79350348027842,2.6763768775603096,60.80211496166247,9943784,16354339,3448,60.63
HSWL,2,9834,5113,51.993085214561724,4.2313899118632845,62.87518560059199,10282821,16354339,9854,62.84
HSWL,3,12771,6865,53.754600266228174,5.681300947573137,66.00854977996971,10795262,16354339,12792,65.97
HSWL,4,13729,7498,54.61432005244373,6.205155790954607,67.93471750830162,11110274,16354339,13750,67.9
HSWL,5,14930,8070,54.05224380442063,6.6785285720196965,68.39830090350947,11186090,16354339,14951,68.36
HSWL,6,18002,8791,48.83346294856127,7.275209997103488,69.73909492765192,11405368,16354339,18023,69.7
CET4,1,4539,4320,95.17514871116987,3.5751231017503207,72.77935231744921,11902582,16354339,4543,72.26
CET4,2,12844,6648,51.75957645593273,5.501717217693549,74.75114708090618,12225056,16354339,12885,74.63
CET4,3,16317,8621,52.83446712018141,7.134522282451276,77.04700874795368,12600529,16354339,16359,76.92
CET4,4,17553,9389,53.48943200592491,7.770099722762445,78.38100946788495,12818696,16354339,17595,78.26
CET4,5,18949,10030,52.93155311625943,8.30057516448049,78.88768234533967,12901559,16354339,18991,78.76
CET4,6,22621,10852,47.97312231996817,8.980841643563537,80.22698441068147,13120593,16354339,22664,80.1
CET6,1,8046,7611,94.59358687546607,6.298671742458724,82.55250793076993,13500917,16354339,8074,82.32
CET6,2,16346,9935,60.779395570781844,8.221955559233665,84.1269035697499,13758399,16354339,16390,84.0
CET6,3,19528,11639,59.601597705858254,9.63214300492407,85.61165327440014,14001220,16354339,19572,85.49
CET6,4,20434,12095,59.19056474503279,10.009517110108826,85.84730327529593,14039759,16354339,20478,85.72
CET6,5,21718,12630,58.15452619946588,10.452269623867258,86.15305088148166,14089762,16354339,21762,86.03
CET6,6,25199,13287,52.72828286836779,10.995986262258452,86.8400306487471,14202113,16354339,25243,86.72
